Front;Back;Tags
OSCE: como estruturar resposta para TEP maciço?;Cenário: Paciente com dispneia, choque e VD dilatado ao POCUS. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::tep_maci_o
OSCE: como estruturar resposta para Tamponamento cardíaco?;Cenário: Paciente hipotenso, turgência jugular e derrame pericárdico. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::tamponamento_card_aco
OSCE: como estruturar resposta para Dissecção de aorta?;Cenário: Dor torácica, déficit de pulso e instabilidade. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::dissec_o_de_aorta
OSCE: como estruturar resposta para Hipercalemia grave?;Cenário: Paciente renal com K alto e ECG alterado. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::hipercalemia_grave
OSCE: como estruturar resposta para Acidose metabólica grave?;Cenário: Paciente em choque com pH muito baixo. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::acidose_metab_lica_grave
OSCE: como estruturar resposta para IRA e indicação de diálise?;Cenário: Defina indicações e modalidade. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::ira_e_indica_o_de_di_lise
OSCE: como estruturar resposta para CRRT?;Cenário: Paciente instável necessitando terapia renal substitutiva. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::crrt
OSCE: como estruturar resposta para Hiponatremia grave?;Cenário: Convulsão e Na muito baixo. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::hiponatremia_grave
OSCE: como estruturar resposta para Cetoacidose diabética?;Cenário: Paciente com acidose, hiperglicemia e desidratação. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::cetoacidose_diab_tica
OSCE: como estruturar resposta para Crise tireotóxica?;Cenário: Paciente febril, taquicárdico e delirante. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::crise_tireot_xica
OSCE: como estruturar resposta para Insuficiência adrenal?;Cenário: Choque refratário e suspeita de crise adrenal. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::insufici_ncia_adrenal
OSCE: como estruturar resposta para Estado de mal epiléptico?;Cenário: Crise persistente em UTI. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::estado_de_mal_epil_ptico
OSCE: como estruturar resposta para Coma?;Cenário: Paciente com rebaixamento de consciência sem causa definida. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::coma
OSCE: como estruturar resposta para TCE grave?;Cenário: Paciente politrauma com hipertensão intracraniana suspeita. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::tce_grave
OSCE: como estruturar resposta para AVC agudo?;Cenário: Déficit focal agudo no hospital. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::avc_agudo
OSCE: como estruturar resposta para Hemorragia intracraniana?;Cenário: Paciente anticoagulado com sangramento cerebral. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::hemorragia_intracraniana
OSCE: como estruturar resposta para Morte encefálica?;Cenário: Explique protocolo e comunicação. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::morte_encef_lica
OSCE: como estruturar resposta para Pancreatite grave?;Cenário: Paciente com choque, hipoxemia e dor abdominal. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::pancreatite_grave
OSCE: como estruturar resposta para Hemorragia digestiva alta?;Cenário: Paciente com hematêmese e instabilidade. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::hemorragia_digestiva_alta
OSCE: como estruturar resposta para Cirrose descompensada?;Cenário: Paciente cirrótico com sepse, encefalopatia e IRA. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::cirrose_descompensada
OSCE: como estruturar resposta para Insuficiência hepática aguda?;Cenário: Paciente ictérico com INR alto e encefalopatia. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::insufici_ncia_hep_tica_aguda
OSCE: como estruturar resposta para Nutrição na UTI?;Cenário: Paciente crítico ventilado há 48h. Planeje nutrição. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::nutri_o_na_uti
OSCE: como estruturar resposta para Neutropenia febril?;Cenário: Paciente oncológico febril e hipotenso. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::neutropenia_febril
OSCE: como estruturar resposta para CIVD?;Cenário: Paciente séptico com sangramento e plaquetopenia. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::civd
OSCE: como estruturar resposta para Transfusão maciça?;Cenário: Trauma com sangramento ativo. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::transfus_o_maci_a
OSCE: como estruturar resposta para HIT?;Cenário: Plaquetopenia em uso de heparina. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::hit
OSCE: como estruturar resposta para Toxicologia opioide?;Cenário: Paciente com coma, miose e depressão respiratória. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::toxicologia_opioide
OSCE: como estruturar resposta para Intoxicação tricíclico?;Cenário: QRS alargado e choque. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::intoxica_o_tric_clico
OSCE: como estruturar resposta para Intoxicação por salicilato?;Cenário: Acidose mista e alteração neurológica. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::intoxica_o_por_salicilato
OSCE: como estruturar resposta para Queimadura grave?;Cenário: Paciente queimado extenso na admissão. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::queimadura_grave
OSCE: como estruturar resposta para Obstetrícia crítica?;Cenário: Gestante/puerpera com eclâmpsia e instabilidade. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::obstetr_cia_cr_tica
OSCE: como estruturar resposta para Delirium hiperativo?;Cenário: Paciente ventilado agitado e inseguro. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::delirium_hiperativo
OSCE: como estruturar resposta para Sedação e analgesia?;Cenário: Paciente ventilado com dor e assincronia. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::seda_o_e_analgesia
OSCE: como estruturar resposta para Comunicação de má notícia?;Cenário: Família de paciente crítico com piora irreversível. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::comunica_o_de_m_not_cia
OSCE: como estruturar resposta para Adequação de suporte?;Cenário: Paciente terminal com suporte desproporcional. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::adequa_o_de_suporte
OSCE: como estruturar resposta para Conflito com família?;Cenário: Família exige tratamento fútil. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::conflito_com_fam_lia
OSCE: como estruturar resposta para Gestão de surto de IRAS?;Cenário: Aumento de infecções relacionadas a cateter na UTI. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::gest_o_de_surto_de_iras
Explique DO2/VO2 e choque oculto.;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::fisiologia
Quando lactato não significa hipoperfusão?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::fisiologia
Como interpretar ScvO2 no choque?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::fisiologia
Como calcular peso predito?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::respirat_rio_vmi
Como diferenciar aumento de resistência vs redução de complacência nas pressões?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::respirat_rio_vmi
Qual abordagem da hipoxemia súbita no ventilador?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::respirat_rio_vmi
Quando pronar ARDS?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::respirat_rio_vmi
Como manejar auto-PEEP?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::respirat_rio_vmi
Como diferenciar choque séptico de cardiogênico no leito?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::choque
Quais endpoints de ressuscitação?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::choque
Quando iniciar noradrenalina?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::choque
Como avaliar responsividade a fluidos?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::choque
Qual sequência da primeira hora da sepse?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::sepse_atb
Como decidir cobertura antimicrobiana empírica?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::sepse_atb
Quando fazer controle de fonte?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::sepse_atb
Como descalonar antibiótico?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::sepse_atb
Indicações clássicas de TRS?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::renal
Como manejar hipercalemia grave?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::renal
CRRT vs hemodiálise intermitente: quando escolher?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::renal
Como ajustar antibiótico na IRA?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::renal
Manejo de taquicardia instável?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::cardio
Como conduzir choque cardiogênico?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::cardio
Quando suspeitar TEP maciço?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::cardio
Cuidados pós-PCR?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::cardio
Abordagem do coma?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::neuro
Tratamento do estado de mal epiléptico?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::neuro
Medidas para hipertensão intracraniana?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::neuro
Passos do protocolo de morte encefálica?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::neuro
Manejo inicial de HDA instável?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::gastro_hepato
Pancreatite grave: o que mata?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::gastro_hepato
Como abordar cirrótico séptico com IRA?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::gastro_hepato
Quando suspeitar isquemia mesentérica?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::gastro_hepato
Como manejar CIVD?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::hemato
Quando transfundir hemácias no crítico?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::hemato
Como suspeitar HIT?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::hemato
Como estruturar transfusão maciça?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::hemato
Como comunicar má notícia?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::_tica_paliativos
Como documentar adequação de suporte?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::_tica_paliativos
Como lidar com conflito familiar?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::_tica_paliativos
Como diferenciar limitação de suporte de abandono?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::_tica_paliativos
Indicadores de qualidade em UTI?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::gest_o
Prevenção de PAV?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::gest_o
Prevenção de infecção de cateter?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::gest_o
Como passar plantão com segurança?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::gest_o
Como usar RUSH no choque?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::pocus
Quais achados de pneumotórax no USG?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::pocus
Como usar VExUS?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::pocus
Limitações da IVC?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::pocus
Critérios de TV vs TSV aberrante?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::ecg
ECG de hipercalemia?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::ecg
Equivalentes de STEMI?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::ecg
Como manejar BAVT instável?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::ecg
Quais são as três primeiras condutas em choque séptico quando há instabilidade?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais achados indicam gravidade em choque séptico?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual conduta comum é perigosa em choque séptico?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Como esse tema seria cobrado em OSCE: choque séptico?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual parâmetro deve ser reavaliado após intervenção em choque séptico?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais são as três primeiras condutas em ARDS quando há instabilidade?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Quais achados indicam gravidade em ARDS?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Qual conduta comum é perigosa em ARDS?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
Como esse tema seria cobrado em OSCE: ARDS?;Responder ativamente: definição/gravidade → conduta inicial → conduta específica → reavaliação → pegadinha/contraindicação. Conferir fonte e personalizar este verso.;temi::integra_o
