Front,Back,Tags
"[C02] Qual ponto-chave devo lembrar sobre: VMI protetora: Vt, driving pressure, plateau, PEEP e metas de oxigenação?","Revise no complexo C02 — Via Aérea, Ventilação Mecânica, SRAG/ARDS e Desmame. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c02
"[C02] Qual ponto-chave devo lembrar sobre: ARDS: gravidade, prona, bloqueio neuromuscular, hipercapnia permissiva e ECMO como discussão?","Revise no complexo C02 — Via Aérea, Ventilação Mecânica, SRAG/ARDS e Desmame. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c02
"[C02] Qual ponto-chave devo lembrar sobre: Assincronias: trigger, fluxo, ciclagem, auto-PEEP, duplo disparo?","Revise no complexo C02 — Via Aérea, Ventilação Mecânica, SRAG/ARDS e Desmame. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c02
[C02] Quando aumentar PEEP piora o paciente?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C02 no vault.,temi c02 active_recall
[C02] Como reconhecer breath stacking no ventilador?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C02 no vault.,temi c02 active_recall
[C02] Qual estratégia usar na hipoxemia refratária com driving pressure alta?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C02 no vault.,temi c02 active_recall
"[C03] Qual ponto-chave devo lembrar sobre: Perfusão: pele, TEC, moteado, lactato, diurese, consciência?","Revise no complexo C03 — Choque, Hemodinâmica, Ecocardiografia e POCUS. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c03
"[C03] Qual ponto-chave devo lembrar sobre: Fluidos: responsividade versus tolerância; PLR, VTI, PPV/SVV com limitações?","Revise no complexo C03 — Choque, Hemodinâmica, Ecocardiografia e POCUS. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c03
"[C03] Qual ponto-chave devo lembrar sobre: Noradrenalina, vasopressina, adrenalina, dobutamina, milrinona: quando e por quê?","Revise no complexo C03 — Choque, Hemodinâmica, Ecocardiografia e POCUS. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c03
"[C03] Qual ponto-chave devo lembrar sobre: Choque cardiogênico: fenótipo frio/quente, úmido/seco, SCAI e suporte circulatório?","Revise no complexo C03 — Choque, Hemodinâmica, Ecocardiografia e POCUS. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c03
"[C03] Qual ponto-chave devo lembrar sobre: POCUS: VE, VD, IVC, pulmão, tamponamento, pneumotórax, congestão venosa?","Revise no complexo C03 — Choque, Hemodinâmica, Ecocardiografia e POCUS. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c03
[C03] Quando a PVC ajuda e quando atrapalha?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C03 no vault.,temi c03 active_recall
[C03] Como diferenciar VD agudo de hipovolemia no POCUS?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C03 no vault.,temi c03 active_recall
[C03] Qual sequência vasoativo/inotrópico no choque misto séptico-cardiogênico?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C03 no vault.,temi c03 active_recall
"[C04] Qual ponto-chave devo lembrar sobre: Bundle inicial: reconhecer, colher culturas quando não atrasar, antibiótico, lactato, fluidos/vasopressor, foco?","Revise no complexo C04 — Sepse, Infecções Graves, Antimicrobianos e Controle de Foco. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c04
"[C04] Qual ponto-chave devo lembrar sobre: Antibiótico empírico por sítio, gravidade, epidemiologia local e risco de MDR?","Revise no complexo C04 — Sepse, Infecções Graves, Antimicrobianos e Controle de Foco. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c04
"[C04] Qual ponto-chave devo lembrar sobre: PK/PD: tempo acima da MIC, AUC/MIC, Cmax/MIC; ajuste renal/hepático?","Revise no complexo C04 — Sepse, Infecções Graves, Antimicrobianos e Controle de Foco. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c04
"[C04] Qual ponto-chave devo lembrar sobre: Descalonamento, duração curta segura e biomarcadores como apoio, não piloto automático?","Revise no complexo C04 — Sepse, Infecções Graves, Antimicrobianos e Controle de Foco. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c04
"[C04] Qual ponto-chave devo lembrar sobre: Candidemia, aspergilose, infecção por cateter, pneumonia VAP/HAP?","Revise no complexo C04 — Sepse, Infecções Graves, Antimicrobianos e Controle de Foco. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c04
[C04] Quando cobrir anaeróbio? Quando cobrir Pseudomonas?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C04 no vault.,temi c04 active_recall
[C04] Como ajustar beta-lactâmico em sepse com clearance aumentado?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C04 no vault.,temi c04 active_recall
[C04] Qual erro mais mata: antibiótico tardio ou ressuscitação cega sem reavaliação?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C04 no vault.,temi c04 active_recall
"[C05] Qual ponto-chave devo lembrar sobre: KDIGO e fenótipo de IRA: pré-renal, tubular, obstrutiva, congestiva?","Revise no complexo C05 — Rim, Ácido-Base, Hidroeletrolíticos e Terapia Renal Substitutiva. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c05
"[C05] Qual ponto-chave devo lembrar sobre: Hipercalemia: membrana, shift, remoção e causa?","Revise no complexo C05 — Rim, Ácido-Base, Hidroeletrolíticos e Terapia Renal Substitutiva. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c05
"[C05] Qual ponto-chave devo lembrar sobre: Hiponatremia: tonicidade, sintoma, tempo, correção e risco de mielinólise?","Revise no complexo C05 — Rim, Ácido-Base, Hidroeletrolíticos e Terapia Renal Substitutiva. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c05
"[C05] Qual ponto-chave devo lembrar sobre: Distúrbios mistos: AG, delta-delta, compensações esperadas?","Revise no complexo C05 — Rim, Ácido-Base, Hidroeletrolíticos e Terapia Renal Substitutiva. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c05
"[C05] Qual ponto-chave devo lembrar sobre: TRS: AEIOU, dose, anticoagulação, intermitente x contínua?","Revise no complexo C05 — Rim, Ácido-Base, Hidroeletrolíticos e Terapia Renal Substitutiva. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c05
[C05] Quando bicarbonato ajuda na acidose metabólica?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C05 no vault.,temi c05 active_recall
"[C05] Como diferenciar hiponatremia por SIADH, hipovolemia e insuficiência adrenal?",Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C05 no vault.,temi c05 active_recall
[C05] Qual a armadilha do potássio normal em acidose?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C05 no vault.,temi c05 active_recall
"[C06] Qual ponto-chave devo lembrar sobre: SCA: supra, sem supra, choque, antiagregação, anticoagulação e reperfusão?","Revise no complexo C06 — Cardiologia Crítica: SCA, Arritmias, IC, TEP e Choque Cardiogênico. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c06
"[C06] Qual ponto-chave devo lembrar sobre: Arritmias: instabilidade, cardioversão, drogas, eletrólitos e causas reversíveis?","Revise no complexo C06 — Cardiologia Crítica: SCA, Arritmias, IC, TEP e Choque Cardiogênico. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c06
"[C06] Qual ponto-chave devo lembrar sobre: IC aguda: congestão, perfusão, nitrato, diurético, inotrópico e VMNI?","Revise no complexo C06 — Cardiologia Crítica: SCA, Arritmias, IC, TEP e Choque Cardiogênico. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c06
"[C06] Qual ponto-chave devo lembrar sobre: TEP: risco, VD, trombólise, anticoagulação, filtro, embolectomia?","Revise no complexo C06 — Cardiologia Crítica: SCA, Arritmias, IC, TEP e Choque Cardiogênico. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c06
"[C06] Qual ponto-chave devo lembrar sobre: Tamponamento, dissecção, crise hipertensiva, valvopatias agudas?","Revise no complexo C06 — Cardiologia Crítica: SCA, Arritmias, IC, TEP e Choque Cardiogênico. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c06
[C06] Quando amiodarona atrasa uma cardioversão necessária?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C06 no vault.,temi c06 active_recall
[C06] Como classificar TEP intermediário-alto?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C06 no vault.,temi c06 active_recall
[C06] Como a ventilação mecânica pode piorar VD?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C06 no vault.,temi c06 active_recall
"[C07] Qual ponto-chave devo lembrar sobre: RASS, CPOT/BPS, CAM-ICU e meta diária de sedação?","Revise no complexo C07 — Neurointensivismo, Sedação, Analgesia, Delirium e Coma. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c07
"[C07] Qual ponto-chave devo lembrar sobre: PADIS: dor primeiro, sedação leve quando possível, delirium e mobilização?","Revise no complexo C07 — Neurointensivismo, Sedação, Analgesia, Delirium e Coma. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c07
"[C07] Qual ponto-chave devo lembrar sobre: HIC: cabeceira, osmoterapia, ventilação, pressão de perfusão cerebral?","Revise no complexo C07 — Neurointensivismo, Sedação, Analgesia, Delirium e Coma. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c07
"[C07] Qual ponto-chave devo lembrar sobre: Estado de mal epiléptico: benzodiazepínico, segunda linha, anestesia?","Revise no complexo C07 — Neurointensivismo, Sedação, Analgesia, Delirium e Coma. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c07
[C07] Qual ponto-chave devo lembrar sobre: AVC isquêmico/hemorrágico no crítico; anticoagulação e reversão?,"Revise no complexo C07 — Neurointensivismo, Sedação, Analgesia, Delirium e Coma. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c07
[C07] Por que benzodiazepínico pode ser péssimo sedativo de rotina?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C07 no vault.,temi c07 active_recall
"[C07] Qual diferença entre coma, delirium hipoativo e sedação excessiva?",Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C07 no vault.,temi c07 active_recall
[C07] Quando hiperventilar paciente com HIC?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C07 no vault.,temi c07 active_recall
"[C08] Qual ponto-chave devo lembrar sobre: Nutrição precoce: indicação, meta proteica/calórica, risco de realimentação?","Revise no complexo C08 — Gastro-Hepatologia, Nutrição, Metabolismo e Suporte Clínico. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c08
"[C08] Qual ponto-chave devo lembrar sobre: Diarreia, resíduo gástrico, intolerância enteral e nutrição parenteral?","Revise no complexo C08 — Gastro-Hepatologia, Nutrição, Metabolismo e Suporte Clínico. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c08
"[C08] Qual ponto-chave devo lembrar sobre: Pancreatite grave: fluido, analgesia, antibiótico, necrose, intervenção?","Revise no complexo C08 — Gastro-Hepatologia, Nutrição, Metabolismo e Suporte Clínico. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c08
"[C08] Qual ponto-chave devo lembrar sobre: HDA varicosa/não-varicosa: ressuscitação, transfusão, PPI/terlipressina/ATB/endoscopia?","Revise no complexo C08 — Gastro-Hepatologia, Nutrição, Metabolismo e Suporte Clínico. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c08
"[C08] Qual ponto-chave devo lembrar sobre: Insuficiência hepática aguda, encefalopatia, coagulopatia e transplante?","Revise no complexo C08 — Gastro-Hepatologia, Nutrição, Metabolismo e Suporte Clínico. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c08
[C08] Quando NÃO usar profilaxia de úlcera de estresse?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C08 no vault.,temi c08 active_recall
[C08] Quando iniciar parenteral?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C08 no vault.,temi c08 active_recall
[C08] Qual meta glicêmica evita dano sem buscar normalidade?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C08 no vault.,temi c08 active_recall
[C09] Qual ponto-chave devo lembrar sobre: Anemia no crítico e limiares transfusionais por contexto?,"Revise no complexo C09 — Hematologia, Coagulação, Transfusão e Tromboembolismo. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c09
"[C09] Qual ponto-chave devo lembrar sobre: Plaquetas/plasma/crio: indicação, risco e alvo?","Revise no complexo C09 — Hematologia, Coagulação, Transfusão e Tromboembolismo. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c09
"[C09] Qual ponto-chave devo lembrar sobre: CIVD, sepse, hepatopatia e trombocitopenia induzida por heparina?","Revise no complexo C09 — Hematologia, Coagulação, Transfusão e Tromboembolismo. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c09
[C09] Qual ponto-chave devo lembrar sobre: Anticoagulação plena/profilática e ajuste renal?,"Revise no complexo C09 — Hematologia, Coagulação, Transfusão e Tromboembolismo. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c09
"[C09] Qual ponto-chave devo lembrar sobre: Reversão: varfarina, DOAC, heparina, trombolítico?","Revise no complexo C09 — Hematologia, Coagulação, Transfusão e Tromboembolismo. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c09
[C09] Quando transfundir Hb 7 não vale?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C09 no vault.,temi c09 active_recall
[C09] Qual hemoderivado corrige fibrinogênio baixo?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C09 no vault.,temi c09 active_recall
[C09] Como equilibrar risco de sangramento e trombose pós-operatório?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C09 no vault.,temi c09 active_recall
"[C10] Qual ponto-chave devo lembrar sobre: CAD/EHH: fluido, potássio, insulina, gatilho e transição?","Revise no complexo C10 — Endocrinologia, Obstetrícia Crítica e Temperatura. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c10
[C10] Qual ponto-chave devo lembrar sobre: Crise adrenal: quando suspeitar e hidrocortisona sem atraso?,"Revise no complexo C10 — Endocrinologia, Obstetrícia Crítica e Temperatura. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c10
[C10] Qual ponto-chave devo lembrar sobre: Tempestade tireotóxica e mixedema: suporte e drogas?,"Revise no complexo C10 — Endocrinologia, Obstetrícia Crítica e Temperatura. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c10
"[C10] Qual ponto-chave devo lembrar sobre: Eclâmpsia/HELLP: sulfato de magnésio, PA, parto, plaquetas?","Revise no complexo C10 — Endocrinologia, Obstetrícia Crítica e Temperatura. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c10
[C10] Qual ponto-chave devo lembrar sobre: Sepse e hemorragia obstétrica: prioridades e equipe?,"Revise no complexo C10 — Endocrinologia, Obstetrícia Crítica e Temperatura. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c10
[C10] Por que insulina antes de corrigir K pode matar na CAD?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C10 no vault.,temi c10 active_recall
[C10] Quando betabloqueador na tireotoxicose é perigoso?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C10 no vault.,temi c10 active_recall
[C10] Qual dose/monitorização do sulfato de magnésio?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C10 no vault.,temi c10 active_recall
"[C11] Qual ponto-chave devo lembrar sobre: ABCDE, FAST/eFAST, controle de hemorragia, via aérea difícil?","Revise no complexo C11 — Trauma, Perioperatório, Queimados e Intoxicações. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c11
"[C11] Qual ponto-chave devo lembrar sobre: Transfusão maciça, TXA, cálcio, temperatura e coagulopatia?","Revise no complexo C11 — Trauma, Perioperatório, Queimados e Intoxicações. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c11
"[C11] Qual ponto-chave devo lembrar sobre: Pós-operatório: sepse, sangramento, TEP, delirium, dor, IRA?","Revise no complexo C11 — Trauma, Perioperatório, Queimados e Intoxicações. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c11
"[C11] Qual ponto-chave devo lembrar sobre: Queimado: via aérea, Parkland com reavaliação, escarotomia, infecção?","Revise no complexo C11 — Trauma, Perioperatório, Queimados e Intoxicações. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c11
"[C11] Qual ponto-chave devo lembrar sobre: Intoxicações: toxíndromes, antídotos, descontaminação e suporte?","Revise no complexo C11 — Trauma, Perioperatório, Queimados e Intoxicações. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c11
[C11] Por que cristalóide demais piora trauma?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C11 no vault.,temi c11 active_recall
[C11] Quando intubar queimado cedo?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C11 no vault.,temi c11 active_recall
[C11] Qual antídoto não pode esperar nível sérico?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C11 no vault.,temi c11 active_recall
"[C12] Qual ponto-chave devo lembrar sobre: Definir objetivos de cuidado: curativo, proporcional, conforto?","Revise no complexo C12 — Paliativos, Ética, Comunicação, Fim de Vida e Humanização. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c12
[C12] Qual ponto-chave devo lembrar sobre: SPIKES/NURSE: estrutura para más notícias e emoção?,"Revise no complexo C12 — Paliativos, Ética, Comunicação, Fim de Vida e Humanização. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c12
"[C12] Qual ponto-chave devo lembrar sobre: Ortotanásia, distanásia, futilidade e proporcionalidade terapêutica?","Revise no complexo C12 — Paliativos, Ética, Comunicação, Fim de Vida e Humanização. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c12
"[C12] Qual ponto-chave devo lembrar sobre: Controle de dispneia, dor, agitação, secreções e terminalidade?","Revise no complexo C12 — Paliativos, Ética, Comunicação, Fim de Vida e Humanização. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c12
[C12] Qual ponto-chave devo lembrar sobre: Documentação clara de reunião e plano terapêutico?,"Revise no complexo C12 — Paliativos, Ética, Comunicação, Fim de Vida e Humanização. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c12
[C12] Como comunicar incerteza sem parecer abandono?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C12 no vault.,temi c12 active_recall
[C12] Qual a diferença entre limitar suporte e eutanásia?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C12 no vault.,temi c12 active_recall
[C12] Como registrar decisão compartilhada de forma defensável?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C12 no vault.,temi c12 active_recall
"[C13] Qual ponto-chave devo lembrar sobre: Bundles: VAP, CLABSI, CAUTI, sepse, delirium/mobilização?","Revise no complexo C13 — Gestão da UTI, Segurança, Qualidade, IRAS, Transporte e Time Multiprofissional. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c13
"[C13] Qual ponto-chave devo lembrar sobre: Indicadores: mortalidade padronizada, tempo de VM, densidade de incidência?","Revise no complexo C13 — Gestão da UTI, Segurança, Qualidade, IRAS, Transporte e Time Multiprofissional. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c13
"[C13] Qual ponto-chave devo lembrar sobre: Checklist de transporte intra/inter-hospitalar: equipe, via aérea, drogas, monitor, plano B?","Revise no complexo C13 — Gestão da UTI, Segurança, Qualidade, IRAS, Transporte e Time Multiprofissional. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c13
"[C13] Qual ponto-chave devo lembrar sobre: Passagem de plantão: problema, gravidade, pendência, meta e gatilho de chamada?","Revise no complexo C13 — Gestão da UTI, Segurança, Qualidade, IRAS, Transporte e Time Multiprofissional. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c13
[C13] Qual ponto-chave devo lembrar sobre: Admissão/alta da UTI e triagem de leitos?,"Revise no complexo C13 — Gestão da UTI, Segurança, Qualidade, IRAS, Transporte e Time Multiprofissional. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c13
[C13] Qual bundle reduz risco e qual vira checklist vazio?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C13 no vault.,temi c13 active_recall
[C13] Como evitar perda de informação na troca de plantão?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C13 no vault.,temi c13 active_recall
[C13] Quando cancelar transporte por instabilidade?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C13 no vault.,temi c13 active_recall
"[C14] Qual ponto-chave devo lembrar sobre: CVC/PAI: indicação, consentimento quando possível, barreira máxima, USG, confirmação e complicações?","Revise no complexo C14 — Procedimentos, Farmacologia Crítica, Sedativos, Vasoativos e Prescrição Segura. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c14
"[C14] Qual ponto-chave devo lembrar sobre: Toracocentese/dreno: indicação, anatomia, anticoagulação e segurança?","Revise no complexo C14 — Procedimentos, Farmacologia Crítica, Sedativos, Vasoativos e Prescrição Segura. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c14
"[C14] Qual ponto-chave devo lembrar sobre: Sedativos/analgésicos: propofol, dexmedetomidina, midazolam, cetamina, opioides?","Revise no complexo C14 — Procedimentos, Farmacologia Crítica, Sedativos, Vasoativos e Prescrição Segura. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c14
"[C14] Qual ponto-chave devo lembrar sobre: Vasoativos: concentração, acesso, extravasamento, titulação e metas?","Revise no complexo C14 — Procedimentos, Farmacologia Crítica, Sedativos, Vasoativos e Prescrição Segura. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c14
"[C14] Qual ponto-chave devo lembrar sobre: Antibióticos: dose de ataque, infusão estendida, ajuste renal, TRS?","Revise no complexo C14 — Procedimentos, Farmacologia Crítica, Sedativos, Vasoativos e Prescrição Segura. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c14
